Condition	Model	Region Code	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	6.0	3.0	100.0	2.0	7.0	3.0	243.0	6.0	6.0	15.0	2.0	1.0	40.0	7.0	0.0	29.99
2.0	6.0	3.0	100.0	2.0	3.0	6.0	201.0	7.0	4.0	23.0	2.0	0.0	1.0	7.0	0.0	36.0
2.0	4.0	3.0	99.4	11.0	1.0	3.0	4316.0	6.0	5.0	3.0	1.0	0.0	1.0	5.0	1.0	123.62
2.0	2.0	1.0	100.0	3.0	1.0	7.0	265.0	3.0	2.0	3.0	3.0	0.0	1.0	5.0	0.0	359.99
1.0	3.0	3.0	99.3	4.0	1.0	6.0	425.0	2.0	1.0	22.0	2.0	1.0	40.0	7.0	0.0	21.49
1.0	3.0	3.0	100.0	1.0	3.0	3.0	515.0	7.0	4.0	15.0	2.0	0.0	1.0	7.0	0.0	7.16
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4432.0	1.0	5.0	23.0	1.0	0.0	1.0	5.0	1.0	109.07
2.0	2.0	1.0	100.0	0.0	7.0	6.0	278.0	6.0	6.0	19.0	3.0	0.0	1.0	7.0	0.0	335.0
2.0	3.0	2.0	100.0	3.0	7.0	4.0	633.0	7.0	7.0	16.0	2.0	0.0	1.0	7.0	0.0	41.0
2.0	3.0	3.0	0.0	0.0	3.0	12.0	254.0	2.0	6.0	21.0	2.0	0.0	1.0	3.0	0.0	150.0
1.0	4.0	3.0	100.0	3.0	5.0	4.0	509.0	5.0	7.0	15.0	2.0	0.0	1.0	5.0	0.0	52.02
2.0	4.0	3.0	100.0	3.0	7.0	5.0	246.0	4.0	4.0	9.0	1.0	0.0	1.0	3.0	0.0	141.5
2.0	3.0	3.0	98.3	3.0	7.0	12.0	502.0	2.0	2.0	14.0	2.0	0.0	1.0	5.0	0.0	220.0
2.0	5.0	3.0	100.0	5.0	7.0	6.0	249.0	2.0	2.0	2.0	1.0	1.0	1.0	5.0	1.0	24.52
2.0	4.0	3.0	98.4	2.0	1.0	3.0	671.0	5.0	4.0	3.0	2.0	1.0	40.0	7.0	0.0	220.0
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4316.0	5.0	2.0	4.0	1.0	0.0	1.0	5.0	1.0	131.01
2.0	2.0	1.0	100.0	2.0	3.0	3.0	46.0	2.0	6.0	1.0	2.0	1.0	40.0	7.0	0.0	350.0
3.0	3.0	3.0	100.0	4.0	3.0	6.0	1995.0	4.0	1.0	15.0	2.0	1.0	40.0	7.0	0.0	165.0
2.0	2.0	1.0	100.0	2.0	3.0	3.0	315.0	3.0	7.0	2.0	2.0	0.0	1.0	7.0	0.0	335.0
1.0	5.0	3.0	100.0	2.0	7.0	5.0	446.0	4.0	4.0	2.0	2.0	0.0	1.0	7.0	0.0	16.0
2.0	3.0	3.0	99.6	5.0	3.0	3.0	893.0	1.0	5.0	23.0	1.0	0.0	1.0	3.0	0.0	143.45
2.0	3.0	3.0	93.3	2.0	1.0	4.0	159.0	3.0	2.0	15.0	2.0	1.0	40.0	7.0	0.0	81.0
2.0	6.0	3.0	100.0	3.0	7.0	9.0	154.0	1.0	1.0	21.0	2.0	0.0	1.0	7.0	0.0	30.0
2.0	6.0	3.0	100.0	1.0	7.0	4.0	86.0	6.0	6.0	20.0	1.0	0.0	1.0	3.0	0.0	46.0
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4286.0	7.0	4.0	4.0	1.0	0.0	1.0	5.0	1.0	117.0
1.0	6.0	3.0	99.0	10.0	3.0	3.0	7717.0	1.0	5.0	1.0	3.0	0.0	1.0	3.0	1.0	10.0
2.0	3.0	3.0	100.0	3.0	7.0	5.0	1134.0	2.0	2.0	12.0	2.0	0.0	1.0	7.0	0.0	119.5
2.0	4.0	3.0	100.0	2.0	3.0	3.0	548.0	4.0	1.0	18.0	2.0	1.0	249.0	7.0	0.0	109.85
2.0	5.0	3.0	100.0	3.0	5.0	4.0	114.0	4.0	6.0	17.0	2.0	1.0	40.0	7.0	0.0	47.0
2.0	6.0	3.0	100.0	2.0	5.0	6.0	144.0	1.0	3.0	2.0	2.0	0.0	1.0	7.0	0.0	49.0
2.0	4.0	3.0	99.8	8.0	10.0	10.0	1814.0	1.0	5.0	1.0	2.0	0.0	1.0	5.0	1.0	142.5
2.0	4.0	3.0	100.0	4.0	1.0	4.0	254.0	3.0	2.0	19.0	1.0	1.0	40.0	7.0	0.0	98.5
2.0	6.0	3.0	100.0	1.0	7.0	6.0	513.0	6.0	6.0	1.0	2.0	1.0	40.0	7.0	0.0	41.0
1.0	3.0	3.0	99.7	6.0	5.0	6.0	1725.0	7.0	2.0	0.0	3.0	0.0	1.0	7.0	0.0	36.55
2.0	4.0	3.0	99.3	4.0	1.0	4.0	4209.0	3.0	2.0	21.0	1.0	0.0	1.0	7.0	1.0	142.5
3.0	4.0	3.0	99.4	4.0	1.0	4.0	2554.0	3.0	2.0	20.0	0.0	0.0	1.0	5.0	1.0	150.0
