Condition	Model	Region Code	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
0.0	0.285714285714	0.333333333333	0.993	0.416666666667	0.444444444444	0.333333333333	0.004192	1.0	0.166666666667	0.695652173913	0.05	0.0	0.00401606425703	1.0	1.0	11
0.0	0.285714285714	0.333333333333	0.993	0.416666666667	0.222222222222	0.333333333333	0.004292	0.0	0.666666666667	0.782608695652	0.05	0.0	0.00401606425703	1.0	1.0	12
0.0	0.428571428571	1.0	0.997	0.416666666667	0.666666666667	0.222222222222	0.007996	0.166666666667	0.166666666667	0.739130434783	0.05	0.0	0.00401606425703	0.714285714286	0.0	5
0.2	0.571428571429	1.0	0.997	0.833333333333	0.666666666667	0.777777777778	0.010348	0.0	0.0	0.739130434783	0.05	1.0	0.0160642570281	1.0	1.0	5
0.0	0.857142857143	1.0	0.99	0.833333333333	0.222222222222	0.0	0.015434	1.0	0.5	0.869565217391	0.15	0.0	0.00401606425703	0.428571428571	1.0	1
0.2	0.285714285714	0.333333333333	0.994	0.416666666667	0.666666666667	0.0	0.000624	0.166666666667	0.166666666667	0.0	0.05	1.0	1.0	1.0	1.0	16
0.0	0.428571428571	1.0	1.0	0.25	0.222222222222	0.0	0.000338	1.0	0.5	0.913043478261	0.1	1.0	0.160642570281	1.0	0.0	2
0.2	0.571428571429	1.0	0.997	0.583333333333	0.222222222222	0.888888888889	0.00123	0.833333333333	0.333333333333	0.565217391304	0.05	0.0	0.00401606425703	0.714285714286	1.0	6
0.2	0.857142857143	1.0	0.0	0.0	0.666666666667	0.777777777778	8.2e-05	0.666666666667	0.666666666667	0.652173913043	0.15	0.0	0.00401606425703	0.714285714286	0.0	3
0.2	0.571428571429	1.0	1.0	0.416666666667	0.666666666667	0.777777777778	0.000794	0.666666666667	0.666666666667	0.0869565217391	0.05	0.0	0.00401606425703	0.714285714286	1.0	6
0.0	0.428571428571	1.0	0.989	0.166666666667	0.666666666667	0.0	0.001646	1.0	1.0	0.739130434783	0.15	1.0	0.160642570281	1.0	0.0	4
0.2	0.571428571429	1.0	0.996	0.75	0.666666666667	0.444444444444	0.004756	0.0	0.0	0.739130434783	0.15	0.0	0.00401606425703	1.0	1.0	7
