Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	4.0	2.0	100.0	3.0	7.0	3.0	75.0	6.0	6.0	1.0	2.0	1.0	39.0	7.0	0.0	6
2.0	5.0	2.0	99.1	3.0	7.0	10.0	331.0	5.0	5.0	22.0	2.0	1.0	39.0	3.0	1.0	15
2.0	6.0	2.0	100.0	3.0	7.0	6.0	328.0	5.0	5.0	3.0	3.0	0.0	1.0	7.0	0.0	17
2.0	3.0	2.0	100.0	3.0	7.0	5.0	194.0	4.0	4.0	18.0	2.0	0.0	1.0	7.0	0.0	5
2.0	3.0	1.0	100.0	3.0	1.0	11.0	594.0	6.0	5.0	0.0	2.0	0.0	1.0	7.0	0.0	5
2.0	4.0	4.0	100.0	1.0	7.0	8.0	1306.0	4.0	4.0	18.0	1.0	0.0	1.0	3.0	1.0	13
1.0	5.0	2.0	99.5	3.0	1.0	7.0	1425.0	5.0	4.0	15.0	1.0	1.0	40.0	7.0	0.0	5
2.0	7.0	2.0	100.0	2.0	1.0	4.0	64.0	4.0	3.0	23.0	3.0	1.0	39.0	7.0	0.0	13
1.0	2.0	3.0	100.0	3.0	10.0	6.0	1716.0	5.0	2.0	23.0	3.0	0.0	249.0	3.0	0.0	3
2.0	7.0	3.0	100.0	1.0	1.0	4.0	223.0	5.0	4.0	14.0	2.0	1.0	40.0	7.0	0.0	17
2.0	3.0	2.0	99.4	4.0	1.0	6.0	505.0	4.0	3.0	15.0	0.0	0.0	1.0	3.0	1.0	5
1.0	5.0	2.0	0.0	0.0	3.0	3.0	129.0	6.0	3.0	2.0	2.0	0.0	1.0	3.0	0.0	12
2.0	3.0	1.0	100.0	1.0	1.0	9.0	207.0	6.0	5.0	7.0	2.0	0.0	1.0	3.0	0.0	4
2.0	3.0	1.0	100.0	3.0	3.0	5.0	177.0	4.0	1.0	16.0	3.0	0.0	1.0	3.0	0.0	5
2.0	6.0	2.0	0.0	0.0	7.0	5.0	23.0	4.0	4.0	18.0	2.0	1.0	39.0	7.0	0.0	15
2.0	3.0	2.0	75.0	1.0	7.0	3.0	130.0	5.0	5.0	0.0	2.0	0.0	1.0	3.0	1.0	5
1.0	0.0	1.0	98.9	5.0	1.0	3.0	1039.0	4.0	3.0	18.0	1.0	0.0	1.0	5.0	0.0	1
2.0	4.0	2.0	98.4	4.0	1.0	4.0	1399.0	4.0	3.0	13.0	1.0	0.0	1.0	5.0	0.0	8
2.0	4.0	2.0	100.0	4.0	7.0	12.0	774.0	5.0	5.0	11.0	1.0	0.0	249.0	3.0	1.0	12
2.0	4.0	4.0	100.0	3.0	7.0	10.0	333.0	5.0	5.0	3.0	2.0	0.0	1.0	5.0	0.0	10
2.0	4.0	2.0	100.0	3.0	3.0	5.0	542.0	5.0	2.0	18.0	3.0	0.0	1.0	3.0	0.0	8
3.0	5.0	3.0	100.0	2.0	3.0	6.0	309.0	5.0	2.0	1.0	2.0	1.0	39.0	3.0	0.0	14
