Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	4.0	2.0	98.4	4.0	1.0	4.0	1399.0	4.0	3.0	13.0	1.0	0.0	1.0	5.0	0.0	185.0
2.0	4.0	2.0	100.0	4.0	7.0	12.0	774.0	5.0	5.0	11.0	1.0	0.0	249.0	3.0	1.0	290.0
2.0	4.0	4.0	100.0	3.0	7.0	10.0	333.0	5.0	5.0	3.0	2.0	0.0	1.0	5.0	0.0	227.22
2.0	4.0	2.0	100.0	3.0	3.0	5.0	542.0	5.0	2.0	18.0	3.0	0.0	1.0	3.0	0.0	190.0
3.0	5.0	3.0	100.0	2.0	3.0	6.0	309.0	5.0	2.0	1.0	2.0	1.0	39.0	3.0	0.0	345.99
2.0	4.0	2.0	100.0	1.0	5.0	6.0	319.0	4.0	6.0	14.0	3.0	0.0	1.0	7.0	0.0	192.5
2.0	5.0	4.0	100.0	3.0	7.0	3.0	226.0	5.0	5.0	11.0	2.0	0.0	1.0	7.0	0.0	361.0
1.0	3.0	3.0	100.0	4.0	7.0	4.0	245.0	4.0	4.0	19.0	3.0	1.0	39.0	7.0	0.0	57.0
2.0	0.0	1.0	100.0	1.0	7.0	12.0	880.0	5.0	5.0	20.0	2.0	0.0	1.0	5.0	0.0	75.56
2.0	3.0	2.0	94.9	2.0	5.0	3.0	203.0	5.0	7.0	8.0	3.0	0.0	1.0	5.0	1.0	100.0
2.0	3.0	1.0	100.0	4.0	7.0	6.0	77.0	6.0	6.0	6.0	2.0	0.0	1.0	5.0	0.0	96.99
1.0	4.0	2.0	100.0	3.0	7.0	5.0	1190.0	5.0	5.0	19.0	2.0	1.0	39.0	7.0	0.0	80.0
2.0	5.0	3.0	100.0	4.0	7.0	7.0	1307.0	4.0	4.0	20.0	3.0	0.0	1.0	3.0	0.0	335.0
2.0	4.0	3.0	100.0	3.0	7.0	3.0	511.0	5.0	5.0	4.0	3.0	1.0	39.0	7.0	0.0	290.0
6.0	5.0	2.0	98.5	4.0	5.0	12.0	652.0	5.0	7.0	1.0	1.0	1.0	39.0	3.0	1.0	270.5
